parent	category_url	hasChildren	breadcrumbs	category_title	category_blurb
http://ggim.un.org/knowledgebase/KnowledgebaseCategory.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	1	 >> Global	Global	Geospatial information is beginning to change the way in which global challenges such as climate change, disease pandemics, food shortages, economic crises and disaster recovery situations are predicted, monitored and managed. Over the years, United Nations continues to move the UN-GGIM towards fulfilling its important mandate to enhance collaboration between Member States and to assist in making accurate, reliable and authoritative geospatial information readily available to support national, regional and global development and the important sustainable development agenda. And the UN-GGIM successfully dealt with strategic issues, such as sharing of geographic information and geospatial data resources, the education and training of geographical information science, the enhancement of the global geodetic reference frame, the development of global mapping for sustainable development; the establishment and implementation of geospatial standards; the linkage of geospatial information to statistics; and the definition of a shared statement of principles for the global geospatial community. 
http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory12.aspx	1	 >> Global >> UN-GGIM Resolutions	UN-GGIM Resolutions	This section provides key references and documents of conferences and side events from the genesis of UN-GGIM initiative to the establishment /development of United Nations Committee of Experts on Global Geospatial Information Management (UN-GGIM). 
http://ggim.un.org/knowledgebase/KnowledgebaseCategory12.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory32.aspx	0	 >> Global >> UN-GGIM Resolutions >> ECOSOC Resolution 2011-24	ECOSOC Resolution 2011-24	
http://ggim.un.org/knowledgebase/KnowledgebaseCategory12.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory24.aspx	0	 >> Global >> UN-GGIM Resolutions >> Resolutions of Committee of Experts	Resolutions of Committee of Experts	
http://ggim.un.org/knowledgebase/KnowledgebaseCategory12.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory23.aspx	0	 >> Global >> UN-GGIM Resolutions >> Resolutions and Decisions of High Level Forum	Resolutions and Decisions of High Level Forum	
http://ggim.un.org/knowledgebase/KnowledgebaseCategory12.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory25.aspx	0	 >> Global >> UN-GGIM Resolutions >> Resolutions Specific to Work Programme	Resolutions Specific to Work Programme	
http://ggim.un.org/knowledgebase/KnowledgebaseCategory12.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory26.aspx	0	 >> Global >> UN-GGIM Resolutions >> Supporting Resolutions	Supporting Resolutions	
http://ggim.un.org/knowledgebase/KnowledgebaseCategory11.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory13.aspx	1	 >> Global >> UN-GGIM Resources Center	UN-GGIM Resources Center	The aim of this Resources Center is to improve scientific knowledge and technical skills, participating in capacity building of the beneficiaries from national mapping authorities in the development, production and management of geospatial information, as well as in effective recognition of geospatial information in policy and decision making of governments. This section would maintain links to some renown research centres/ institutions for geospatial information science, relevant websites pertaining to geospatial data/information, and open resources coming from the global geospatial information community, etc.
http://ggim.un.org/knowledgebase/KnowledgebaseCategory13.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory28.aspx	0	 >> Global >> UN-GGIM Resources Center >> List of Educational/Training Institutions	List of Educational/Training Institutions	
http://ggim.un.org/knowledgebase/KnowledgebaseCategory13.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory29.aspx	0	 >> Global >> UN-GGIM Resources Center >> Toolkits and Technical Resources	Toolkits and Technical Resources	
