parent	category_url	hasChildren	breadcrumbs	category_title	category_blurb
http://ggim.un.org/knowledgebase/KnowledgebaseCategory.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory14.aspx	1	 >> Regional	Regional	Each UN-GGIM regional entity plays a vital role liaising with the UN-GGIM Secretariat on topics of interest and major developments in intervening periods between meetings of the Committee of Experts, facilitating regional development and discussion, and formally feeding into the Committee of Experts. UN-mandated regional bodies are established in the Asia-Pacific, the Americas, Europe, the Arab States and Africa (UN-GGIM activities are presently coordinated in Africa by the United Nations Economic Commission for Africa (UNECA)).
http://ggim.un.org/knowledgebase/KnowledgebaseCategory14.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory16.aspx	0	 >> Regional >> UN-GGIM ASIA-PACIFIC	UN-GGIM ASIA-PACIFIC	The Regional Committee of United Nations Global Geospatial Information Management for Asia and the Pacific (UN-GGIM-AP) was established on 1 November 2012 on the basis of the Permanent Committee on GIS Infrastructure for Asia and the Pacific (PCGIAP), in accordance with Resolution 8 adopted at the Nineteenth United Nations Regional Cartographic Conference for Asia and the Pacific (UNRCC-AP). The aim of the UN-GGIM-AP is to identify regional issues relevant to geospatial information management and take necessary actions on them for the furtherance of the discussions at UNRCC-AP conferences, and reports back to UN-GGIM. UN-GGIM-AP inherits exactly the same missions and membership as those of PCGIAP. As the representing body of the National Geospatial Information Authority of 56 countries and regions in Asia and the Pacific region, the Committee promotes the unique needs and interests of the region globally while cooperating with other regional and global entities, so that the economic, social and environmental benefits of geospatial information will be maximized in Asia and the Pacific region. For more details, please visit: http://www.un-ggim-ap.org/.
http://ggim.un.org/knowledgebase/KnowledgebaseCategory16.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory44.aspx	0	 >> Regional >> UN-GGIM ASIA-PACIFIC >> Relevant Documents	Relevant Documents	
http://ggim.un.org/knowledgebase/KnowledgebaseCategory14.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory15.aspx	0	 >> Regional >> UN-GGIM AMERICAS	UN-GGIM AMERICAS	The Regional Committee of the UN Global Geospatial Information Management for the Americas (UN GGIM:Americas) was established on August 23, 2013, replacing the Permanent Committee for Geospatial Data Infrastructure of the Americas (PC‐IDEA), in accordance with resolution 7, adopted at the 10th  UN Regional Cartographic Conference for the Americas at the UN Headquarters in New York. The name change is in keeping with the regional body’s renewed mandate to have increased close cooperation and coordination with UN-GGIM. The aim of the UN-GGIM:Americas is to determine regional issues relevant to the management of geospatial information, in line with the global challenges especially in the context of sustainable development and humanitarian assistance. The Regional Committee aims particularly to take the necessary action on these regional issues resulting from the use of geospatial information based on the member countries’ knowledge and exchange of experiences and technologies to enable the development of the Geospatial Data Infrastructure for the Americas. For more details, please visit: http://www.cp-idea.org/.
http://ggim.un.org/knowledgebase/KnowledgebaseCategory15.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory43.aspx	0	 >> Regional >> UN-GGIM AMERICAS >> Relevant Documents	Relevant Documents	
http://ggim.un.org/knowledgebase/KnowledgebaseCategory14.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory46.aspx	0	 >> Regional >> UN-GGIM EUROPE	UN-GGIM EUROPE	The United Nations Committee of Experts on Global Geospatial Information Management for Europe (UN-GGIM: Europe) was formally established on 1st October 2014 at a meeting in Chisinau Moldova, in pursuance of the UN-GGIM decision 4/111, adopted at its 4th Session in New York, 6-8 August 2014, which “endorsed the establishment of the Regional Committee of United Nations Global Geospatial Information Management for Europe”. This new body was created after two years of preparatory work beginning in November 2012 with an inaugural phase.  The process transitioned at the 3rd session of the Committee of Experts on GGIM in 2013, with increased and active involvement of European Member States, the creation of its governance structure and the preparation of a draft work plan.  The process culminated on 1st October in Chisinau with the meeting of 110 delegates, including representatives from 6 National Statistical Institutes and 43 NMCAs and the election of the Executive Body. UN-GGIM: Europe is now chaired by Bengt Kjellson of Sweden, supported by two vice chairs, Dorine Burmanje from the Netherlands, and Antonio Arozarena from Spain, in addition to a 10 member executive committee. The Netherlands has responsibility for providing secretariat services to UN-GGIM: Europe and EuroGeographics will carry out the work under a service level agreement. Their website is http://un-ggim-europe.org/.
http://ggim.un.org/knowledgebase/KnowledgebaseCategory46.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory47.aspx	0	 >> Regional >> UN-GGIM EUROPE >> Relevant Documents	Relevant Documents	
http://ggim.un.org/knowledgebase/KnowledgebaseCategory14.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory17.aspx	0	 >> Regional >> UN-GGIM ARAB STATES	UN-GGIM ARAB STATES	The Regional Committee of United Nations Global Geospatial Information Management for the Arab States (UN-GGIM: Arab States) was established at the 4th Session of the UN-GGIM on August 2014, in accordance with Decision 4/111 which “endorsed the establishment of the Regional Committee of United Nations Global Geospatial Information Management for the Arab States”. The building process of UN-GGIM for the Arab States started with the Seminar on Regional Cooperation convened in Doha, Qatar, on 7 February, in the wake of the Second High Level Forum on GGIM.  It continued with an informal regional side-meeting during the 3rd Session of UN-GGIM, held in Cambridge in July 2013, and the second preparatory meeting, held in Amman in February 2014, and culminated with the formal creation of the regional UN-GGIM-Arab States at the 4th Session of UN-GGIM in August 2014. The transitional committee is preparing the first official meeting to be held in Riyadh, Saudi Arabia, 24-25 February 2015, to elect a Bureau for the Committee and Chairs of Working Groups in order to lead its work for the next few years. For more detail, please visit: http://www.un-ggim-as.org/ 
http://ggim.un.org/knowledgebase/KnowledgebaseCategory17.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory48.aspx	0	 >> Regional >> UN-GGIM ARAB STATES >> Relevant Documents	Relevant Documents	
http://ggim.un.org/knowledgebase/KnowledgebaseCategory14.aspx	http://ggim.un.org/knowledgebase/KnowledgebaseCategory19.aspx	0	 >> Regional >> UN-GGIM AFRICA	UN-GGIM AFRICA	The United Nations Initiative on Global Geospatial Information Management in Africa (UN-GGIM: Africa) started pursuant to the resolution on UN-GGIM, adopted at the third session of the Committee on Development Information, Science and Technology (CODIST-III) in March 2013. A preparatory meeting held in Tunis, 8-12 December 2014, agreed on the work programme and elected a transitional Bureau, composed of 4 co-Chairs representing the regions of Africa and chairs of 4 Working Groups, to lead the work of the Committee for the interim period until the next session of the Committee and its formalization at the upcoming 5th Session of UN-GGIM in August 2015. The secretariat services are provided by UNECA. The aim of the UN-GGIM-Africa is to identify relevant regional geospatial information management issues and initiate actions for the furtherance of discussions of the regional entity and thus contribute to the direction of UN-GGIM to permit the economic, social and environmental benefits of geospatial information to be maximized in the African region.
